query,response
What is covered under Section 1?,"Section 1 covers liability to other people, including injuries and property damage caused by an accident involving your car."
How to make a claim?,"To make a claim, call 0345 878 6261. You'll need your personal details, policy number, car registration number, and a description of the loss or damage."
What is DriveSure?,DriveSure is a telematics insurance product that captures driving data to provide feedback and potentially lower premiums based on driving behavior.
Who is covered to drive other cars?,Your certificate of motor insurance will show who has cover to drive other cars. This cover is usually limited to third-party liability only.
What is the cover for windscreen damage?,"The policy covers windscreen damage under Section 5. If you use an approved supplier, the cost of repair or replacement is covered."
What is not included in my cover?,"The policy does not cover mechanical or electrical failure, wear and tear, damage to tyres caused by braking, punctures, cuts or bursts, and breakdowns."
Does Churchill have approved repairers?,"Yes, Churchill customers have access to a national network of approved repairers who handle all aspects of the repair."
What is the difference between commuting and business use?,"Business use covers driving in connection with a business or employment, while commuting covers driving to and from a permanent place of work."
Can I use my car abroad?,"You can use your car abroad, but cover depends on the policy type and destination. You may need a Green Card."
Are my electric car’s charging cables covered?,"Yes, home chargers and charging cables for electric cars are covered under Section 2 (Fire and Theft) and Section 4 (Accidental Damage)."
Is my electric car battery covered?,"Your car’s battery is covered if it’s damaged as a result of an insured incident, regardless of whether it's owned or leased."
What should I do if I need to claim?,"If you need to claim, call the relevant number provided and have your personal details, policy number, and a description of the incident ready."
How does Churchill handle repairs?,"Repairs are handled by approved repairers with a 5-year guarantee, or you can choose your own repairer with prior approval from Churchill."
What is the coverage for fire and theft?,"Fire and theft coverage includes repair or replacement of your car if it's damaged by fire, theft, or attempted theft, up to its market value."
What does Motor Legal Cover include?,"Motor Legal Cover includes legal costs for accidents, motor contract disputes, and motoring offences up to £100,000 if included in your policy."
What is the Guaranteed Hire Car Plus?,"Guaranteed Hire Car Plus provides a hire car similar to yours if your car is damaged, written off, or stolen, up to 21 days."
What is a courtesy car?,A courtesy car is a small hatchback provided temporarily while your car is being repaired by an approved repairer.
What happens if my car is written off?,"If your car is written off, Churchill will settle the claim and take ownership of the car. You must provide the registration document."
What is covered under Personal Benefits?,"Personal Benefits cover new car replacement, personal belongings, medical expenses, and personal accident benefits."
What is the Uninsured Driver Promise?,"The Uninsured Driver Promise ensures that if an uninsured driver hits you, your No Claim Discount is unaffected and excess is refunded."
What does Vandalism Promise cover?,The Vandalism Promise covers damage caused by vandalism and does not affect your No Claim Discount. A police report is required.
How are medical expenses covered?,"Medical expenses for injuries from an accident are covered up to specified limits, provided no other policy covers these costs."
What is the new car replacement policy?,New car replacement is offered if your car is stolen or written off within a year (or two years for Comprehensive Plus) of purchase.
What is the cover for personal belongings?,"Personal belongings in the car are covered for loss or damage due to fire, theft, or accident up to specified limits."
What should I do if I’m prosecuted for a motoring offence?,"Motor Legal Cover provides legal representation for motoring offences, but does not cover parking, obstruction, or waiting offences."
How does Churchill handle motor contract disputes?,"Churchill handles motor contract disputes involving buying or selling your car, or hiring goods or services for your car."
What does accidental damage cover?,"Accidental damage cover includes repair or replacement of your car if it's accidentally damaged, up to its market value."
What should I do if my car keys are lost or damaged?,"If your car keys are lost or damaged, Churchill will cover the cost of repair or replacement, including locksmith charges."
What is the coverage for misfuelling?,Coverage for misfuelling includes damage caused by using the wrong fuel but does not cover the cost of draining and flushing the fuel.
What are the territorial limits of the policy?,"The territorial limits of the policy include Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man."
